Date,AAPL,MSFT,NVDA,GOOGL,AMZN,VIX
2021-04-22,128.50900268554688,246.7699432373047,14.812915802001953,111.70276641845703,165.45199584960938,18.709999084472656
2021-04-23,130.82708740234375,250.58901977539062,15.226872444152832,114.05384063720703,167.04400634765625,17.329999923706055
2021-04-26,131.21669006347656,250.97283935546875,15.439085960388184,114.54974365234375,170.4499969482422,17.639999389648438
2021-04-27,130.8953094482422,251.37583923339844,15.343077659606934,113.6100082397461,170.8715057373047,17.559999465942383
2021-04-28,130.10630798339844,244.26548767089844,15.238344192504883,116.98511505126953,172.9250030517578,17.280000686645508
2021-04-29,130.00894165039062,242.2983856201172,15.286219596862793,118.65730285644531,173.5655059814453,17.610000610351562
2021-04-30,128.04150390625,241.98175048828125,14.971765518188477,116.71039581298828,173.37100219726562,18.610000610351562
2021-05-03,129.0933380126953,241.67469787597656,14.799448013305664,116.19364929199219,169.32449340820312,18.309999465942383
2021-05-04,124.52532958984375,237.7692413330078,14.315167427062988,114.39601135253906,165.593505859375,19.479999542236328
2021-05-05,124.76883697509766,236.5026397705078,14.422150611877441,114.7897720336914,163.52699279785156,19.149999618530273
2021-05-06,126.3661880493164,239.63082885742188,14.48648738861084,115.90951538085938,165.31849670410156,18.389999389648438
2021-05-07,127.03941345214844,242.25039672851562,14.775010108947754,116.63253784179688,164.58050537109375,16.690000534057617
2021-05-10,123.76119995117188,237.1839599609375,14.229884147644043,113.64820098876953,159.52450561523438,19.65999984741211
2021-05-11,122.84408569335938,236.27235412597656,14.270283699035645,112.57258605957031,161.19549560546875,21.84000015258789
2021-05-12,119.78054809570312,229.33470153808594,13.723910331726074,109.11070251464844,157.5970001220703,27.59000015258789
2021-05-13,121.92698669433594,233.20176696777344,13.63089370727539,110.53839874267578,158.07350158691406,23.1299991607666
2021-05-14,124.34658813476562,238.11471557617188,14.207191467285156,112.98516845703125,161.14500427246094,18.809999465942383
2021-05-17,123.19530487060547,235.26483154296875,14.129884719848633,113.50786590576172,163.51950073242188,19.719999313354492
